Plug-In_Hybrid_(PHEV)_Count,Battery_Electric_Vehicle_(BEV)_Count,Electric_Vehicle_(EV)_Total,dateValue
8398,14799,23197,2017-1
8618,15308,23926,2017-2
8849,15799,24648,2017-3
9032,16455,25487,2017-4
9251,17031,26282,2017-5
9466,17601,27067,2017-6
9655,18120,27775,2017-7
9876,18576,28452,2017-8
10098,19076,29174,2017-9
10381,19634,30015,2017-10
10607,20076,30683,2017-11
10846,20458,31304,2017-12
11261,21052,32313,2018-1
11554,21307,32861,2018-2
11892,21752,33644,2018-3
12224,22300,34524,2018-4
12648,23064,35712,2018-5
13037,23792,36829,2018-6
13333,24333,37666,2018-7
13645,24912,38557,2018-8
13984,25505,39489,2018-9
14341,26879,41220,2018-10
14724,28156,42880,2018-11
15063,29130,44193,2018-12
15459,30529,45988,2019-1
15637,31113,46750,2019-2
15792,31458,47250,2019-3
16062,32491,48553,2019-4
16350,33178,49528,2019-5
16602,34017,50619,2019-6
16893,34996,51889,2019-7
17114,35756,52870,2019-8
17359,36529,53888,2019-9
17650,38126,55776,2019-10
17838,38593,56431,2019-11
18025,39275,57300,2019-12
18254,41310,59564,2020-1
18378,41792,60170,2020-2
18510,42572,61082,2020-3
18467,42958,61425,2020-4
18491,42968,61459,2020-5
18582,43261,61843,2020-6
18694,44677,63371,2020-7
18824,45310,64134,2020-8
19015,45891,64906,2020-9
19262,46905,66167,2020-10
19409,48275,67684,2020-11
19642,49080,68722,2020-12
19910,50625,70535,2021-1
20146,51496,71642,2021-2
20451,52310,72761,2021-3
20829,54201,75030,2021-4
21140,55425,76565,2021-5
21623,56520,78143,2021-6
21947,58533,80480,2021-7
22281,59997,82278,2021-8
22486,60998,83484,2021-9
22764,62488,85252,2021-10
23022,63958,86980,2021-11
23038,64647,87685,2021-12
