date,price_per_kwh
2010-01-01,0.124
2010-02-01,0.123
2010-03-01,0.125
2010-04-01,0.126
2010-05-01,0.127
2010-06-01,0.132
2010-07-01,0.133
2010-08-01,0.133
2010-09-01,0.132
2010-10-01,0.127
2010-11-01,0.125
2010-12-01,0.125
2011-01-01,0.125
2011-02-01,0.125
2011-03-01,0.127
2011-04-01,0.127
2011-05-01,0.129
2011-06-01,0.134
2011-07-01,0.135
2011-08-01,0.135
2011-09-01,0.135
2011-10-01,0.130
2011-11-01,0.128
2011-12-01,0.127
2012-01-01,0.128
2012-02-01,0.128
2012-03-01,0.127
2012-04-01,0.127
2012-05-01,0.129
2012-06-01,0.135
2012-07-01,0.133
2012-08-01,0.133
2012-09-01,0.133
2012-10-01,0.128
2012-11-01,0.127
2012-12-01,0.127
2013-01-01,0.129
2013-02-01,0.129
2013-03-01,0.128
2013-04-01,0.128
2013-05-01,0.131
2013-06-01,0.137
2013-07-01,0.137
2013-08-01,0.137
2013-09-01,0.137
2013-10-01,0.132
2013-11-01,0.130
2013-12-01,0.131
2014-01-01,0.134
2014-02-01,0.134
2014-03-01,0.135
2014-04-01,0.131
2014-05-01,0.136
2014-06-01,0.143
2014-07-01,0.143
2014-08-01,0.143
2014-09-01,0.141
2014-10-01,0.136
2014-11-01,0.134
2014-12-01,0.135
2015-01-01,0.138
2015-02-01,0.138
2015-03-01,0.136
2015-04-01,0.137
2015-05-01,0.137
2015-06-01,0.143
2015-07-01,0.142
2015-08-01,0.142
2015-09-01,0.141
2015-10-01,0.136
2015-11-01,0.134
2015-12-01,0.133
2016-01-01,0.134
2016-02-01,0.134
2016-03-01,0.134
2016-04-01,0.134
2016-05-01,0.133
2016-06-01,0.138
2016-07-01,0.139
2016-08-01,0.139
2016-09-01,0.139
2016-10-01,0.134
2016-11-01,0.131
2016-12-01,0.133
2017-01-01,0.134
2017-02-01,0.135
2017-03-01,0.134
2017-04-01,0.135
2017-05-01,0.137
2017-06-01,0.142
2017-07-01,0.143
2017-08-01,0.142
2017-09-01,0.142
2017-10-01,0.137
2017-11-01,0.136
2017-12-01,0.136
2018-01-01,0.135
2018-02-01,0.135
2018-03-01,0.135
2018-04-01,0.134
2018-05-01,0.136
2018-06-01,0.139
2018-07-01,0.139
2018-08-01,0.139
2018-09-01,0.138
2018-10-01,0.136
2018-11-01,0.134
2018-12-01,0.135
2019-01-01,0.135
2019-02-01,0.136
2019-03-01,0.135
2019-04-01,0.135
2019-05-01,0.136
2019-06-01,0.139
2019-07-01,0.140
2019-08-01,0.139
2019-09-01,0.139
2019-10-01,0.136
2019-11-01,0.133
2019-12-01,0.133
2020-01-01,0.134
2020-02-01,0.134
2020-03-01,0.134
2020-04-01,0.133
2020-05-01,0.134
2020-06-01,0.137
2020-07-01,0.137
2020-08-01,0.137
2020-09-01,0.137
2020-10-01,0.135
2020-11-01,0.136
2020-12-01,0.136
2021-01-01,0.136
2021-02-01,0.137
2021-03-01,0.138
2021-04-01,0.139
2021-05-01,0.140
2021-06-01,0.142
2021-07-01,0.143
2021-08-01,0.144
2021-09-01,0.144
2021-10-01,0.142
2021-11-01,0.142
2021-12-01,0.142
2022-01-01,0.147
2022-02-01,0.148
